theme,ticker,source
agriculture_food,ADM,curated
agriculture_food,AGCO,MOO constituent
agriculture_food,ALB,XLB constituent
agriculture_food,AMCR,XLB constituent
agriculture_food,APD,XLB constituent
agriculture_food,AVY,XLB constituent
agriculture_food,BALL,XLB constituent
agriculture_food,BAYRY,MOO constituent
agriculture_food,BG,curated
agriculture_food,CALM,MOO constituent
agriculture_food,CASY,XLP constituent
agriculture_food,CF,curated
agriculture_food,CHD,XLP constituent
agriculture_food,CL,XLP constituent
agriculture_food,CNH,MOO constituent
agriculture_food,COST,XLP constituent
agriculture_food,CRH,XLB constituent
agriculture_food,CTVA,XLB constituent
agriculture_food,DAR,MOO constituent
agriculture_food,DBA,curated
agriculture_food,DD,XLB constituent
agriculture_food,DE,curated
agriculture_food,DG,XLP constituent
agriculture_food,DLTR,XLP constituent
agriculture_food,DOW,XLB constituent
agriculture_food,ECL,XLB constituent
agriculture_food,EL,XLP constituent
agriculture_food,ELAN,MOO constituent
agriculture_food,FCX,XLB constituent
agriculture_food,FMC,MOO constituent
agriculture_food,GIS,XLP constituent
agriculture_food,HSY,XLP constituent
agriculture_food,ICL,MOO constituent
agriculture_food,IFF,XLB constituent
agriculture_food,IP,XLB constituent
agriculture_food,KDP,XLP constituent
agriculture_food,KHC,XLP constituent
agriculture_food,KMB,XLP constituent
agriculture_food,KO,XLP constituent
agriculture_food,KR,XLP constituent
agriculture_food,KVUE,XLP constituent
agriculture_food,LIN,XLB constituent
agriculture_food,LYB,XLB constituent
agriculture_food,MDLZ,XLP constituent
agriculture_food,MLM,XLB constituent
agriculture_food,MNST,XLP constituent
agriculture_food,MO,XLP constituent
agriculture_food,MOO,curated
agriculture_food,MOS,curated
agriculture_food,NEM,XLB constituent
agriculture_food,NEOG,MOO constituent
agriculture_food,NTR,curated
agriculture_food,NUE,XLB constituent
agriculture_food,PEP,XLP constituent
agriculture_food,PG,XLP constituent
agriculture_food,PKG,XLB constituent
agriculture_food,PM,XLP constituent
agriculture_food,PPC,MOO constituent
agriculture_food,PPG,XLB constituent
agriculture_food,SHW,XLB constituent
agriculture_food,STLD,XLB constituent
agriculture_food,SW,XLB constituent
agriculture_food,SYY,XLP constituent
agriculture_food,TGT,XLP constituent
agriculture_food,TSN,MOO constituent
agriculture_food,TTC,MOO constituent
agriculture_food,VMC,XLB constituent
agriculture_food,WMT,XLP constituent
agriculture_food,ZTS,MOO constituent
ai,AI,curated
ai,AIQ,curated
ai,AMD,curated
ai,BBAI,curated
ai,GOOGL,curated
ai,MSFT,curated
ai,NVDA,curated
ai,PLTR,curated
ai,SMCI,curated
ai,SOUN,curated
ai_megacap,AAPL,curated
ai_megacap,AMZN,curated
ai_megacap,GOOG,curated
ai_megacap,GOOGL,curated
ai_megacap,MAGS,curated
ai_megacap,META,curated
ai_megacap,MSFT,curated
ai_megacap,NVDA,curated
ai_megacap,TSLA,curated
biotech_pharma,ABBV,curated
biotech_pharma,ALKS,XBI constituent
biotech_pharma,ALNY,BBH constituent
biotech_pharma,AMGN,curated
biotech_pharma,APGE,XBI constituent
biotech_pharma,ARGX,BBH constituent
biotech_pharma,ARWR,XBI constituent
biotech_pharma,AZN,curated
biotech_pharma,BBIO,XBI constituent
biotech_pharma,BIIB,BBH constituent
biotech_pharma,BMRN,BBH constituent
biotech_pharma,BMY,curated
biotech_pharma,BNTX,curated
biotech_pharma,CGON,XBI constituent
biotech_pharma,COGT,XBI constituent
biotech_pharma,CRL,BBH constituent
biotech_pharma,CRSP,curated
biotech_pharma,CYTK,XBI constituent
biotech_pharma,DNTH,XBI constituent
biotech_pharma,ERAS,XBI constituent
biotech_pharma,GILD,curated
biotech_pharma,IBB,curated
biotech_pharma,ICLR,BBH constituent
biotech_pharma,ILMN,BBH constituent
biotech_pharma,INCY,BBH constituent
biotech_pharma,INSM,BBH constituent
biotech_pharma,IQV,BBH constituent
biotech_pharma,JNJ,curated
biotech_pharma,KYMR,XBI constituent
biotech_pharma,LLY,curated
biotech_pharma,MIRM,XBI constituent
biotech_pharma,MRK,curated
biotech_pharma,MRNA,curated
biotech_pharma,NBIX,BBH constituent
biotech_pharma,NTRA,XBI constituent
biotech_pharma,NVAX,curated
biotech_pharma,OCGN,curated
biotech_pharma,ONC,BBH constituent
biotech_pharma,ORKA,XBI constituent
biotech_pharma,PCVX,XBI constituent
biotech_pharma,PFE,curated
biotech_pharma,PRAX,XBI constituent
biotech_pharma,PTGX,XBI constituent
biotech_pharma,QGEN,BBH constituent
biotech_pharma,REGN,curated
biotech_pharma,ROIV,XBI constituent
biotech_pharma,RVMD,XBI constituent
biotech_pharma,RYTM,XBI constituent
biotech_pharma,SYRE,XBI constituent
biotech_pharma,TECH,BBH constituent
biotech_pharma,TEM,BBH constituent
biotech_pharma,TGTX,XBI constituent
biotech_pharma,TVTX,XBI constituent
biotech_pharma,TWST,XBI constituent
biotech_pharma,UTHR,BBH constituent
biotech_pharma,VKTX,XBI constituent
biotech_pharma,VRTX,curated
biotech_pharma,XBI,curated
cannabis,ACB,curated
cannabis,CGC,curated
cannabis,MSOS,curated
cannabis,SNDL,curated
cannabis,TLRY,curated
china_geopolitics,ACGBY,FXI constituent
china_geopolitics,ATHM,KWEB constituent
china_geopolitics,BABA,curated
china_geopolitics,BACHY,FXI constituent
china_geopolitics,BEKE,KWEB constituent
china_geopolitics,BIDU,curated
china_geopolitics,BILI,KWEB constituent
china_geopolitics,BYDDY,FXI constituent
