ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
AAAA,3,1,0.75,2.59,wordfreq,normal
AAAC,0,0,,0.0,wordfreq,normal
AAAD,0,0,,0.0,wordfreq,normal
AAAP,0,0,,0.0,wordfreq,normal
AAAU,1,0,1.0,0.0,wordfreq,normal
AACB,0,0,,0.0,wordfreq,normal
AACBR,0,0,,0.0,wordfreq,normal
AACBU,0,0,,0.0,wordfreq,normal
AACG,11,0,1.0,0.0,wordfreq,normal
AACI,0,0,,0.0,wordfreq,normal
AACIU,0,0,,0.0,wordfreq,normal
AACIW,0,0,,0.0,wordfreq,normal
AACO,0,0,,1.29,wordfreq,normal
AACOU,0,0,,0.0,wordfreq,normal
AACOW,0,0,,0.0,wordfreq,normal
AACP,0,0,,1.02,wordfreq,normal
AACPR,0,0,,0.0,wordfreq,normal
AACPU,0,0,,0.0,wordfreq,normal
AACPW,0,0,,0.0,wordfreq,normal
AADR,0,0,,0.0,wordfreq,normal
AADX,0,0,,0.0,wordfreq,normal
AAEQ,0,0,,0.0,wordfreq,normal
AALG,0,0,,0.0,wordfreq,normal
AAME,0,0,,1.07,wordfreq,normal
AAMI,0,0,,2.14,wordfreq,normal
AAOG,0,0,,0.0,wordfreq,normal
AAOI,24,0,1.0,0.0,wordfreq,normal
AAON,1,0,1.0,0.0,wordfreq,normal
AAOX,0,0,,0.0,wordfreq,normal
AAPB,0,0,,0.0,wordfreq,normal
AAPD,0,0,,1.02,wordfreq,normal
AAPG,0,0,,1.61,wordfreq,normal
AAPL,888,87,0.911,2.4,case_ratio,normal
AAPR,0,0,,0.0,wordfreq,normal
AAPU,0,0,,0.0,wordfreq,normal
AAPW,0,0,,0.0,wordfreq,normal
AAPX,0,0,,0.0,wordfreq,normal
AAPY,0,0,,0.0,wordfreq,normal
AARD,0,0,,1.43,wordfreq,normal
AAUA,0,0,,0.0,wordfreq,normal
AAUC,1,0,1.0,0.0,wordfreq,normal
AAUM,0,0,,0.0,wordfreq,normal
AAUS,0,0,,0.0,wordfreq,normal
AAVM,0,0,,0.0,wordfreq,normal
AAXJ,1,0,1.0,0.0,wordfreq,normal
ABAT,0,0,,1.27,wordfreq,normal
ABBV,60,3,0.952,1.28,case_ratio,normal
ABCB,0,0,,1.05,wordfreq,normal
ABCL,6,0,1.0,1.14,wordfreq,normal
ABCS,0,2,0.0,2.5,wordfreq,normal
ABEO,6,0,1.0,0.0,wordfreq,normal
ABEQ,0,0,,0.0,wordfreq,normal
ABEV,6,0,1.0,0.0,wordfreq,normal
ABFL,0,0,,0.0,wordfreq,normal
ABIG,0,0,,1.3,wordfreq,normal
ABLD,0,0,,0.0,wordfreq,normal
ABLG,0,0,,0.0,wordfreq,normal
ABLS,0,0,,0.0,wordfreq,normal
ABLV,0,0,,0.0,wordfreq,normal
ABLVW,0,0,,0.0,wordfreq,normal
ABNB,50,3,0.943,0.0,case_ratio,normal
ABNG,0,0,,0.0,wordfreq,normal
ABOS,0,1,0.0,1.48,wordfreq,normal
ABOT,0,0,,1.84,wordfreq,normal
ABSI,5,0,1.0,1.41,wordfreq,normal
ABTC,4,0,1.0,0.0,wordfreq,normal
ABTS,0,0,,1.46,wordfreq,normal
ABUF,0,0,,0.0,wordfreq,normal
ABUS,25,0,1.0,1.95,wordfreq,normal
ABVC,0,0,,0.0,wordfreq,normal
ABVX,1,0,1.0,0.0,wordfreq,normal
ABXB,0,0,,0.0,wordfreq,normal
ABXL,0,0,,0.0,wordfreq,normal
ACAA,0,0,,1.12,wordfreq,normal
ACAAU,0,0,,0.0,wordfreq,normal
ACAAW,0,0,,0.0,wordfreq,normal
ACAD,12,0,1.0,2.44,wordfreq,normal
ACCL,0,0,,1.23,wordfreq,normal
ACCO,0,1,0.0,2.1,wordfreq,normal
ACCS,0,3,0.0,1.93,wordfreq,normal
ACDC,5,1,0.833,1.98,wordfreq,normal
ACEI,0,0,,1.4,wordfreq,normal
ACEL,0,0,,1.1,wordfreq,normal
ACEP,0,0,,1.42,wordfreq,normal
ACES,6,1,0.857,3.39,wordfreq,normal
ACET,0,0,,1.51,wordfreq,normal
ACFN,2,0,1.0,0.0,wordfreq,normal
ACGC,0,0,,0.0,wordfreq,normal
ACGCU,0,0,,0.0,wordfreq,normal
ACGCW,0,0,,0.0,wordfreq,normal
ACGL,3,0,1.0,0.0,wordfreq,normal
ACGLN,0,0,,0.0,wordfreq,normal
ACGLO,0,0,,0.0,wordfreq,normal
ACGO,0,0,,0.0,wordfreq,normal
ACGR,0,0,,0.0,wordfreq,normal
ACHC,7,0,1.0,0.0,wordfreq,normal
ACHR,1,0,1.0,1.66,wordfreq,normal
ACHV,7,0,1.0,0.0,wordfreq,normal
ACHX,0,0,,0.0,wordfreq,normal
ACIC,3,0,1.0,0.0,wordfreq,normal
ACII,0,0,,0.0,wordfreq,normal
ACIO,0,0,,0.0,wordfreq,normal
ACIU,0,1,0.0,0.0,wordfreq,normal
ACIW,1,1,0.5,0.0,wordfreq,normal
ACKY,0,0,,0.0,wordfreq,normal
ACLC,0,0,,0.0,wordfreq,normal
ACLO,0,0,,0.0,wordfreq,normal
ACLS,3,0,1.0,2.32,wordfreq,normal
ACLZ,0,0,,0.0,wordfreq,normal
ACMM,0,0,,0.0,wordfreq,normal
ACMR,11,0,1.0,0.0,wordfreq,normal
ACNB,0,0,,0.0,wordfreq,normal
ACNT,0,0,,0.0,wordfreq,normal
ACOG,0,0,,2.08,wordfreq,normal
ACOM,4,0,1.0,1.2,wordfreq,normal
ACON,2,1,0.667,1.68,wordfreq,normal
ACONW,0,0,,0.0,wordfreq,normal
ACRE,6,44,0.12,3.93,case_ratio,cashtag_only
ACRS,2,2,0.5,1.3,wordfreq,normal
ACRV,1,0,1.0,0.0,wordfreq,normal
ACSG,0,0,,0.0,wordfreq,normal
ACSI,0,0,,1.83,wordfreq,normal
ACSV,0,0,,0.0,wordfreq,normal
ACTG,5,0,1.0,1.29,wordfreq,normal
ACTS,2,125,0.016,4.64,case_ratio,cashtag_only
ACTU,0,0,,2.42,wordfreq,normal
ACVA,0,0,,0.0,wordfreq,normal
ACVF,0,0,,0.0,wordfreq,normal
ACVT,0,0,,0.0,wordfreq,normal
ACVU,0,0,,0.0,wordfreq,normal
ACWI,13,1,0.929,0.0,wordfreq,normal
ACWV,1,0,1.0,0.0,wordfreq,normal
ACWX,0,0,,0.0,wordfreq,normal
ACXP,3,0,1.0,0.0,wordfreq,normal
ACYN,0,0,,0.0,wordfreq,normal
